iid_pid,gender,condtn,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,age,field_cd,race,imprace,imprelig,zipcode,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1
6794,1,2,0,0.43,0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,4.0,10.0,10.0,7.0,10.0,5.563764665873151,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6793,1,2,0,0.3,0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,2.0,7.0,8.0,6.0,10.0,3.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6792,1,2,0,0.47,0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,8.0,9.0,8.0,9.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6791,1,2,0,-0.04,0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,10.0,10.0,10.0,8.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6790,1,2,0,0.12,0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,4.0,5.0,4.0,5.0,1.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6789,1,2,0,-0.01,0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,4.0,7.0,8.0,7.0,8.0,7.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6788,1,2,0,0.19,0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,1.0,3.0,5.0,2.0,3.0,1.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6787,1,2,1,0.18,0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,5.0,8.0,10.0,10.0,10.0,5.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6786,1,2,0,-0.2,1,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,7.0,7.0,8.0,8.0,8.0,3.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6785,1,2,0,0.21,1,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,4.0,8.0,9.0,8.0,9.0,2.0,29.0,8.0,4.0,7.0,1.0,10027.0,45296.35067491564,1.0,5.0,3.0,7.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,9.0,8.0,7.0,8.0,9.0,8.0,10.0,5.0,3.0,7.0,35.0,30.0,25.0,5.0,0.0,5.0
6784,1,2,0,0.22,0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,0.0,10.0,10.0,3.0,10.0,5.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6783,1,2,0,0.44,0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,2.0,7.0,10.0,2.0,10.0,2.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6782,1,2,0,0.44,0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,6.0,8.0,10.0,7.0,10.0,8.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6781,1,2,0,0.45,0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,10.0,9.0,8.0,8.0,7.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6780,1,2,0,0.21,0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,1.0,8.0,8.0,4.0,7.0,5.563764665873151,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6779,1,2,0,0.01,0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,2.0,7.0,6.0,7.0,6.0,5.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6778,1,2,0,-0.07,0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,1.0,5.0,5.0,2.0,5.0,1.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6777,1,2,0,0.24,0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,2.0,5.0,9.0,5.0,10.0,9.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6776,1,2,0,-0.01,1,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,5.0,8.0,7.0,5.0,7.0,2.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6775,1,2,0,0.17,1,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,2.0,5.0,9.0,5.0,8.0,3.0,30.0,8.0,4.0,3.0,1.0,650206.0,45296.35067491564,2.0,3.0,3.0,7.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,7.0,5.0,7.0,7.0,8.0,6.0,6.0,3.0,20.0,40.0,5.0,20.0,5.0,10.0
6774,1,2,0,0.21,1,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,5.0,9.0,10.0,5.0,9.0,5.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6773,1,2,1,0.46,1,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,4.0,6.0,8.0,7.0,9.0,2.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6772,1,2,0,0.53,1,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,7.0,9.0,7.0,10.0,7.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6771,1,2,0,0.48,1,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6770,1,2,0,-0.08,0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,7.0,9.0,10.0,9.0,9.0,6.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6769,1,2,0,-0.1,1,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,5.0,5.0,5.0,7.0,5.0,9.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6768,1,2,0,0.33,0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,5.0,6.0,4.0,4.0,1.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6767,1,2,1,0.4,1,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,5.0,10.0,10.0,9.0,10.0,10.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6766,1,2,0,0.06,0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,7.0,8.0,8.0,8.0,6.0,3.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6765,1,2,0,0.01,0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,5.0,7.0,8.0,6.0,9.0,5.0,25.0,13.0,2.0,3.0,7.0,71171.11662153013,45296.35067491564,2.0,6.0,2.0,9.0,7.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,5.0,7.0,9.0,10.0,9.0,10.0,5.0,10.0,3.0,50.0,5.0,5.0,5.0,5.0,30.0
6764,1,2,0,0.46,0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,8.0,9.0,9.0,4.0,9.0,5.563764665873151,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6763,1,2,0,0.12,0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,7.0,7.0,8.0,8.0,7.0,4.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6762,1,2,0,0.35,0,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,9.0,7.0,8.0,8.0,9.0,7.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6761,1,2,1,0.78,0,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6760,1,2,1,0.01,0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,7.0,7.0,8.0,9.0,10.0,7.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6759,1,2,0,-0.12,0,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6758,1,2,0,0.44,1,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,7.0,4.0,3.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6757,1,2,0,0.24,0,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,8.0,8.0,9.0,9.0,10.0,10.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6756,1,2,0,0.31,0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,8.0,5.0,7.0,6.0,8.0,2.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6755,1,2,0,0.17,0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,5.0,6.0,9.0,8.0,8.0,5.0,23.0,1.0,6.0,7.0,1.0,11552.0,52280.0,1.0,3.0,1.0,1.0,8.0,2.0,6.0,8.0,7.0,5.0,5.0,3.0,1.0,9.0,7.0,6.0,9.0,2.0,6.0,4.0,1.0,5.0,55.0,2.0,1.0,40.0,1.0,1.0
6754,1,2,1,0.5,1,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,9.0,3.0,10.0,9.0,10.0,5.563764665873151,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6753,1,2,0,0.48,1,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,8.0,2.0,4.0,5.0,10.0,2.0,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6752,1,2,1,0.41,1,23.0,2.0,15.0,15.0,18.0,18.0,14.0,20.0,7.0,6.0,9.0,10.0,9.0,9.0,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6751,1,2,1,0.0,1,23.0,2.0,28.0,8.0,17.0,22.0,17.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6750,1,2,1,0.73,0,22.0,1.0,25.0,5.0,20.0,25.0,15.0,10.0,9.0,9.0,10.0,10.0,9.0,5.563764665873151,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6749,1,2,0,0.16,1,27.0,2.0,30.0,15.0,15.0,30.0,0.0,10.0,7.0,6.0,6.0,5.0,7.0,7.0,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6748,1,2,0,0.41,0,30.0,6.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,5.0,5.0,5.0,8.0,5.0,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6747,1,2,0,0.69,1,28.0,2.0,15.0,30.0,30.0,10.0,10.0,5.0,8.0,6.0,8.0,7.0,9.0,5.0,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6746,1,2,1,0.03,0,27.0,4.0,15.0,15.0,25.0,15.0,15.0,15.0,9.0,8.0,9.0,9.0,5.0,2.0,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6745,1,2,0,-0.42,0,22.0,4.0,10.0,25.0,15.0,20.0,15.0,15.0,6.0,8.0,8.0,9.0,9.0,4.0,22.0,1.0,2.0,1.0,1.0,10021.0,55080.0,1.0,2.0,1.0,7.0,3.0,2.0,4.0,9.0,8.0,9.0,3.0,5.0,9.0,7.0,3.0,6.0,7.0,6.0,10.0,6.0,5.0,3.0,25.0,15.0,25.0,25.0,5.0,5.0
6744,1,2,0,0.49,0,29.0,2.0,20.0,10.0,50.0,5.0,10.0,5.0,7.0,7.0,9.0,3.0,9.0,0.0,26.0,13.0,4.0,1.0,1.0,110003.0,45296.35067491564,1.0,7.0,2.0,7.0,7.0,5.0,6.0,8.0,3.0,2.0,6.0,2.0,5.0,6.0,3.0,4.0,8.0,4.0,9.0,2.0,4.0,3.0,15.0,30.0,25.0,20.0,0.0,10.0
6743,1,2,0,0.35,0,23.0,2.0,14.0,15.0,16.0,17.0,18.0,20.0,6.0,3.0,4.0,2.0,9.0,4.0,26.0,13.0,4.0,1.0,1.0,110003.0,45296.35067491564,1.0,7.0,2.0,7.0,7.0,5.0,6.0,8.0,3.0,2.0,6.0,2.0,5.0,6.0,3.0,4.0,8.0,4.0,9.0,2.0,4.0,3.0,15.0,30.0,25.0,20.0,0.0,10.0
