iid_pid;iid;id;gender;idg;condtn;wave;round;position;positin1;order;partner;pid;match;int_corr;samerace;age_o;race_o;pf_o_att;pf_o_sin;pf_o_int;pf_o_fun;pf_o_amb;pf_o_sha;dec_o;attr_o;sinc_o;intel_o;fun_o;amb_o;shar_o;age;field;field_cd;race;imprace;imprelig;from;zipcode;income;goal;date;go_out;career;career_c;sports;tvsports;exercise;dining;museums;art;hiking;gaming;clubbing;reading;tv;theater;movies;concerts;music;shopping;yoga;exphappy;expnum;attr1_1;sinc1_1;intel1_1;fun1_1;amb1_1;shar1_1
6794;452;13;1;23;2;17;11;2;9;5;10;439;0;0,43;0;29;2;20;10;50;5;10;5;0;4.00;10.00;10.00;7.00;10.00;;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6793;452;13;1;23;2;17;11;13;9;4;9;438;0;0,3;0;23;2;14;15;16;17;18;20;0;2.00;7.00;8.00;6.00;10.00;3.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6792;452;13;1;23;2;17;11;12;9;3;8;437;0;0,47;0;23;2;15;15;18;18;14;20;0;7.00;8.00;9.00;8.00;9.00;7.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6791;452;13;1;23;2;17;11;6;9;8;7;436;0;-0,04;0;23;2;28;8;17;22;17;8;0;7.00;10.00;10.00;10.00;8.00;7.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6790;452;13;1;23;2;17;11;7;9;9;6;435;0;0,12;0;22;1;25;5;20;25;15;10;0;1.00;4.00;5.00;4.00;5.00;1.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6789;452;13;1;23;2;17;11;4;9;7;5;434;0;-0,01;0;27;2;30;15;15;30;0;10;0;4.00;7.00;8.00;7.00;8.00;7.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6788;452;13;1;23;2;17;11;3;9;6;4;433;0;0,19;0;30;6;20;20;20;20;10;10;0;1.00;3.00;5.00;2.00;3.00;1.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6787;452;13;1;23;2;17;11;11;9;2;3;432;1;0,18;0;28;2;15;30;30;10;10;5;1;5.00;8.00;10.00;10.00;10.00;5.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6786;452;13;1;23;2;17;11;9;9;1;2;431;0;-0,2;1;27;4;15;15;25;15;15;15;0;7.00;7.00;8.00;8.00;8.00;3.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6785;452;13;1;23;2;17;11;8;9;10;1;430;0;0,21;1;22;4;10;25;15;20;15;15;0;4.00;8.00;9.00;8.00;9.00;2.00;29;MBA;8.00;4;7;1;Singapore;10,027;;1;5;3;private equity;7.00;9;6;8;7;8;7;8;7;9;8;7;8;9;8;10;5;3;7;;35.00;30.00;25.00;5.00;0.00;5.00
6784;451;12;1;22;2;17;11;2;13;2;10;439;0;0,22;0;29;2;20;10;50;5;10;5;0;0.00;10.00;10.00;3.00;10.00;5.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6783;451;12;1;22;2;17;11;13;13;1;9;438;0;0,44;0;23;2;14;15;16;17;18;20;0;2.00;7.00;10.00;2.00;10.00;2.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6782;451;12;1;22;2;17;11;12;13;10;8;437;0;0,44;0;23;2;15;15;18;18;14;20;0;6.00;8.00;10.00;7.00;10.00;8.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6781;451;12;1;22;2;17;11;6;13;5;7;436;0;0,45;0;23;2;28;8;17;22;17;8;0;7.00;10.00;9.00;8.00;8.00;7.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6780;451;12;1;22;2;17;11;7;13;6;6;435;0;0,21;0;22;1;25;5;20;25;15;10;0;1.00;8.00;8.00;4.00;7.00;;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6779;451;12;1;22;2;17;11;4;13;4;5;434;0;0,01;0;27;2;30;15;15;30;0;10;0;2.00;7.00;6.00;7.00;6.00;5.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6778;451;12;1;22;2;17;11;3;13;3;4;433;0;-0,07;0;30;6;20;20;20;20;10;10;0;1.00;5.00;5.00;2.00;5.00;1.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6777;451;12;1;22;2;17;11;11;13;9;3;432;0;0,24;0;28;2;15;30;30;10;10;5;0;2.00;5.00;9.00;5.00;10.00;9.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6776;451;12;1;22;2;17;11;9;13;8;2;431;0;-0,01;1;27;4;15;15;25;15;15;15;0;5.00;8.00;7.00;5.00;7.00;2.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6775;451;12;1;22;2;17;11;8;13;7;1;430;0;0,17;1;22;4;10;25;15;20;15;15;0;2.00;5.00;9.00;5.00;8.00;3.00;30;MBA;8.00;4;3;1;Asia, Singapore;650,206;;2;3;3;banking;7.00;3;3;2;4;4;3;3;4;3;6;7;5;7;7;8;6;6;3;;20.00;40.00;5.00;20.00;5.00;10.00
6774;450;11;1;21;2;17;11;2;2;1;10;439;0;0,21;1;29;2;20;10;50;5;10;5;0;5.00;9.00;10.00;5.00;9.00;5.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6773;450;11;1;21;2;17;11;13;2;10;9;438;1;0,46;1;23;2;14;15;16;17;18;20;1;4.00;6.00;8.00;7.00;9.00;2.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6772;450;11;1;21;2;17;11;12;2;9;8;437;0;0,53;1;23;2;15;15;18;18;14;20;0;7.00;7.00;9.00;7.00;10.00;7.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6771;450;11;1;21;2;17;11;6;2;4;7;436;0;0,48;1;23;2;28;8;17;22;17;8;0;7.00;7.00;8.00;8.00;8.00;7.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6770;450;11;1;21;2;17;11;7;2;5;6;435;0;-0,08;0;22;1;25;5;20;25;15;10;1;7.00;9.00;10.00;9.00;9.00;6.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6769;450;11;1;21;2;17;11;4;2;3;5;434;0;-0,1;1;27;2;30;15;15;30;0;10;0;5.00;5.00;5.00;7.00;5.00;9.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6768;450;11;1;21;2;17;11;3;2;2;4;433;0;0,33;0;30;6;20;20;20;20;10;10;0;4.00;5.00;6.00;4.00;4.00;1.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6767;450;11;1;21;2;17;11;11;2;8;3;432;1;0,4;1;28;2;15;30;30;10;10;5;1;5.00;10.00;10.00;9.00;10.00;10.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6766;450;11;1;21;2;17;11;9;2;7;2;431;0;0,06;0;27;4;15;15;25;15;15;15;0;7.00;8.00;8.00;8.00;6.00;3.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6765;450;11;1;21;2;17;11;8;2;6;1;430;0;0,01;0;22;4;10;25;15;20;15;15;0;5.00;7.00;8.00;6.00;9.00;5.00;25;International Affairs;13.00;2;3;7;Singapore;;;2;6;2;Diplomat;9.00;7;3;9;9;9;9;9;9;3;5;7;9;10;9;10;5;10;3;;50.00;5.00;5.00;5.00;5.00;30.00
6764;449;10;1;20;2;17;11;2;8;6;10;439;0;0,46;0;29;2;20;10;50;5;10;5;0;8.00;9.00;9.00;4.00;9.00;;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6763;449;10;1;20;2;17;11;13;8;5;9;438;0;0,12;0;23;2;14;15;16;17;18;20;0;7.00;7.00;8.00;8.00;7.00;4.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6762;449;10;1;20;2;17;11;12;8;4;8;437;0;0,35;0;23;2;15;15;18;18;14;20;0;9.00;7.00;8.00;8.00;9.00;7.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6761;449;10;1;20;2;17;11;6;8;9;7;436;1;0,78;0;23;2;28;8;17;22;17;8;1;10.00;10.00;10.00;10.00;10.00;10.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6760;449;10;1;20;2;17;11;7;8;10;6;435;1;0,01;0;22;1;25;5;20;25;15;10;1;7.00;7.00;8.00;9.00;10.00;7.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6759;449;10;1;20;2;17;11;4;8;8;5;434;0;-0,12;0;27;2;30;15;15;30;0;10;0;8.00;8.00;8.00;8.00;8.00;7.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6758;449;10;1;20;2;17;11;3;8;7;4;433;0;0,44;1;30;6;20;20;20;20;10;10;0;7.00;7.00;7.00;7.00;4.00;3.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6757;449;10;1;20;2;17;11;11;8;3;3;432;0;0,24;0;28;2;15;30;30;10;10;5;1;8.00;8.00;9.00;9.00;10.00;10.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6756;449;10;1;20;2;17;11;9;8;2;2;431;0;0,31;0;27;4;15;15;25;15;15;15;0;8.00;5.00;7.00;6.00;8.00;2.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6755;449;10;1;20;2;17;11;8;8;1;1;430;0;0,17;0;22;4;10;25;15;20;15;15;0;5.00;6.00;9.00;8.00;8.00;5.00;23;Law;1.00;6;7;1;New York;11,552;52,280.00;1;3;1;Business/Law;1.00;8;2;6;8;7;5;5;3;1;9;7;6;9;2;6;4;1;5;;55.00;2.00;1.00;40.00;1.00;1.00
6754;448;9;1;18;2;17;11;2;7;7;10;439;1;0,5;1;29;2;20;10;50;5;10;5;1;9.00;3.00;10.00;9.00;10.00;;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6753;448;9;1;18;2;17;11;13;7;6;9;438;0;0,48;1;23;2;14;15;16;17;18;20;0;8.00;2.00;4.00;5.00;10.00;2.00;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6752;448;9;1;18;2;17;11;12;7;5;8;437;1;0,41;1;23;2;15;15;18;18;14;20;1;7.00;6.00;9.00;10.00;9.00;9.00;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6751;448;9;1;18;2;17;11;6;7;10;7;436;1;0;1;23;2;28;8;17;22;17;8;1;10.00;10.00;10.00;10.00;10.00;10.00;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6750;448;9;1;18;2;17;11;7;7;1;6;435;1;0,73;0;22;1;25;5;20;25;15;10;1;9.00;9.00;10.00;10.00;9.00;;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6749;448;9;1;18;2;17;11;4;7;9;5;434;0;0,16;1;27;2;30;15;15;30;0;10;0;7.00;6.00;6.00;5.00;7.00;7.00;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6748;448;9;1;18;2;17;11;3;7;8;4;433;0;0,41;0;30;6;20;20;20;20;10;10;0;6.00;5.00;5.00;5.00;8.00;5.00;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6747;448;9;1;18;2;17;11;11;7;4;3;432;0;0,69;1;28;2;15;30;30;10;10;5;1;8.00;6.00;8.00;7.00;9.00;5.00;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6746;448;9;1;18;2;17;11;9;7;3;2;431;1;0,03;0;27;4;15;15;25;15;15;15;1;9.00;8.00;9.00;9.00;5.00;2.00;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6745;448;9;1;18;2;17;11;8;7;2;1;430;0;-0,42;0;22;4;10;25;15;20;15;15;0;6.00;8.00;8.00;9.00;9.00;4.00;22;Law/Business;1.00;2;1;1;New York City;10,021;55,080.00;1;2;1;Business Management;7.00;3;2;4;9;8;9;3;5;9;7;3;6;7;6;10;6;5;3;;25.00;15.00;25.00;25.00;5.00;5.00
6744;447;8;1;16;2;17;11;2;1;1;10;439;0;0,49;0;29;2;20;10;50;5;10;5;0;7.00;7.00;9.00;3.00;9.00;0.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6743;447;8;1;16;2;17;11;13;1;10;9;438;0;0,35;0;23;2;14;15;16;17;18;20;0;6.00;3.00;4.00;2.00;9.00;4.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6742;447;8;1;16;2;17;11;12;1;9;8;437;0;0,34;0;23;2;15;15;18;18;14;20;1;8.00;8.00;10.00;7.00;10.00;7.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6741;447;8;1;16;2;17;11;6;1;4;7;436;0;0,31;0;23;2;28;8;17;22;17;8;0;7.00;10.00;9.00;9.00;9.00;8.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6740;447;8;1;16;2;17;11;7;1;5;6;435;0;0,18;0;22;1;25;5;20;25;15;10;0;6.00;10.00;9.00;8.00;8.00;4.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6739;447;8;1;16;2;17;11;4;1;3;5;434;1;0,13;0;27;2;30;15;15;30;0;10;1;10.00;10.00;10.00;10.00;10.00;9.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6738;447;8;1;16;2;17;11;3;1;2;4;433;0;0,23;0;30;6;20;20;20;20;10;10;0;7.00;7.00;7.00;5.00;5.00;3.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6737;447;8;1;16;2;17;11;11;1;8;3;432;0;0,08;0;28;2;15;30;30;10;10;5;1;7.00;9.00;10.00;10.00;10.00;8.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6736;447;8;1;16;2;17;11;9;1;7;2;431;0;0,11;1;27;4;15;15;25;15;15;15;0;8.00;9.00;8.00;7.00;8.00;2.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6735;447;8;1;16;2;17;11;8;1;6;1;430;0;0,49;1;22;4;10;25;15;20;15;15;0;5.00;8.00;8.00;8.00;6.00;3.00;26;Public Policy;13.00;4;1;1;India;110,003;;1;7;2;Public Finance;7.00;7;5;6;8;3;2;6;2;5;6;3;4;8;4;9;2;4;3;;15.00;30.00;25.00;20.00;0.00;10.00
6734;446;7;1;14;2;17;11;2;4;9;10;439;1;0,67;0;29;2;20;10;50;5;10;5;1;7.00;7.00;9.00;5.00;9.00;;28;MBA;8.00;3;2;2;Bogota, Colombia;0;;1;4;3;Finance;7.00;9;2;9;8;8;7;6;3;6;6;5;6;6;5;8;3;3;7;;30.00;20.00;25.00;15.00;10.00;0.00
6733;446;7;1;14;2;17;11;13;4;8;9;438;1;0,28;0;23;2;14;15;16;17;18;20;1;6.00;4.00;7.00;3.00;7.00;6.00;28;MBA;8.00;3;2;2;Bogota, Colombia;0;;1;4;3;Finance;7.00;9;2;9;8;8;7;6;3;6;6;5;6;6;5;8;3;3;7;;30.00;20.00;25.00;15.00;10.00;0.00
6732;446;7;1;14;2;17;11;12;4;7;8;437;0;0,34;0;23;2;15;15;18;18;14;20;1;6.00;8.00;9.00;9.00;10.00;8.00;28;MBA;8.00;3;2;2;Bogota, Colombia;0;;1;4;3;Finance;7.00;9;2;9;8;8;7;6;3;6;6;5;6;6;5;8;3;3;7;;30.00;20.00;25.00;15.00;10.00;0.00
6731;446;7;1;14;2;17;11;6;4;2;7;436;0;0,32;0;23;2;28;8;17;22;17;8;0;7.00;10.00;9.00;9.00;7.00;8.00;28;MBA;8.00;3;2;2;Bogota, Colombia;0;;1;4;3;Finance;7.00;9;2;9;8;8;7;6;3;6;6;5;6;6;5;8;3;3;7;;30.00;20.00;25.00;15.00;10.00;0.00
